etak_id,annual_kwh/pv_m2,y-y_variation/pv_m2,monthly_average_kwh/pv_m2,pv_suitable_area,Jan_kwh/pv_m2,Feb_kwh/pv_m2,Mar_kwh/pv_m2,Apr_kwh/pv_m2,May_kwh/pv_m2,Jun_kwh/pv_m2,Jul_kwh/pv_m2,Aug_kwh/pv_m2,Sep_kwh/pv_m2,Oct_kwh/pv_m2,Nov_kwh/pv_m2,Dec_kwh/pv_m2
723484,164.1,8.74,13.67,123.03666659806223,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723485,159.74,8.295,13.309999999999999,56.40624551570261,3.165,7.7700000000000005,14.365,19.105,23.655,22.619999999999997,22.595,19.465,14.34,7.93,2.8200000000000003,1.905
723487,156.26749999999998,8.025,13.02,153.35443621205593,2.98125,7.4575000000000005,13.90625,18.85125,23.20125,22.29375,22.276249999999997,19.15125,13.9875,7.6674999999999995,2.7025,1.7862500000000001
723488,161.36045454545453,8.416818181818183,13.443181818181818,2988.963380168051,3.2036363636363636,7.907727272727272,14.558181818181817,19.39727272727273,23.78409090909091,22.72,22.743636363636362,19.660454545454545,14.530454545454546,8.049090909090909,2.87,1.9286363636363637
723490,155.10500000000002,7.835,12.925,57.689010506913846,2.795,7.1450000000000005,13.575,18.86,23.25,22.46,22.4,19.165,13.795,7.43,2.58,1.655
723492,146.25799999999998,6.534000000000001,12.186,131.9110159256013,1.9600000000000002,5.562,11.948,17.784,23.116,22.946,22.612000000000002,18.54,12.498000000000001,6.236,1.966,1.09
723494,128.0,5.06,10.67,32.30872179928131,1.19,3.93,9.62,15.74,21.03,21.48,20.95,16.65,10.56,4.87,1.38,0.6
723495,157.285,7.7825,13.105,139.71819187791567,2.76,7.0875,13.7125,18.9775,23.8075,23.044999999999998,22.935,19.4375,13.9075,7.435,2.55,1.6225
723496,141.225,6.1,11.77,107.47334349875453,1.71,5.0600000000000005,11.27,17.23,22.605,22.615000000000002,22.215,18.035,11.95,5.824999999999999,1.7850000000000001,0.925
723498,155.355,7.515000000000001,12.942499999999999,123.66712430372502,2.5875,6.765000000000001,13.385,18.75,23.75,23.11,22.955,19.2925,13.6375,7.1875,2.425,1.5075
723501,152.985,7.24,12.75,61.83703454119464,2.46,6.449999999999999,13.035,18.32,23.705,23.115000000000002,22.845,19.060000000000002,13.32,6.9399999999999995,2.3049999999999997,1.4249999999999998
723503,164.1,8.74,13.67,33.91362451449825,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723504,164.1,8.74,13.67,45.12330108395123,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723505,164.1,8.74,13.67,61.24676864633802,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723506,164.1,8.74,13.67,150.99404412399892,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723507,160.72,8.52,13.39,52.4886343006137,3.23,7.97,14.5,19.55,23.53,22.42,22.51,19.61,14.52,8.05,2.9,1.95
723509,154.20499999999998,7.46,12.85,131.11693369804527,2.59,6.74,13.34,18.53,23.585,22.905,22.729999999999997,19.125,13.56,7.164999999999999,2.42,1.5150000000000001
723511,155.526,8.022,12.959999999999999,395.21011186764827,3.0620000000000003,7.5,13.935999999999998,18.546,23.124000000000002,22.144,22.082,18.964000000000002,13.919999999999998,7.67,2.726,1.848
723512,156.56,7.38,13.05,206.0656098139003,2.42,6.52,13.25,18.95,24.24,23.72,23.52,19.58,13.6,7.03,2.32,1.39
723513,148.2975,6.7775,12.36,66.16563707258254,2.0975,5.8225,12.24,18.07,23.2775,22.955,22.6775,18.735,12.7525,6.43,2.0625,1.18
723514,161.075,8.17,13.42,44.7969990008947,3.0149999999999997,7.58,14.295,19.37,24.08,23.16,23.104999999999997,19.755000000000003,14.36,7.824999999999999,2.7350000000000003,1.795
723515,153.35,7.0,12.78,97.77793051363903,2.18,6.06,12.74,18.59,24.07,23.72,23.45,19.32,13.19,6.67,2.14,1.23
723516,144.516,6.864,12.044,110.73096428777941,2.222,5.988,12.14,17.558,22.32,21.95,21.724,18.128,12.564,6.498,2.1420000000000003,1.28
723519,152.16,7.35,12.68,15.166550194335224,2.42,6.45,12.86,18.64,23.36,22.82,22.66,19.05,13.28,6.9,2.31,1.41
723520,164.1,8.74,13.67,144.5646856810082,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723521,164.1,8.74,13.67,24.24539462296764,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723524,153.39333333333332,8.046666666666667,12.780000000000001,88.13598589578996,3.0199999999999996,7.453333333333333,13.783333333333333,18.44666666666667,22.683333333333334,21.679999999999996,21.656666666666666,18.72,13.803333333333333,7.616666666666667,2.706666666666667,1.82
723525,164.1,8.74,13.67,69.70299229261195,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723526,139.68,6.09,11.64,255.89115214714167,1.68,5.0,11.1,17.22,22.27,22.3,21.9,17.93,11.83,5.76,1.77,0.9
723528,164.01,8.67,13.67,52.21891495735034,3.32,8.17,14.89,19.77,24.01,22.88,22.95,19.94,14.83,8.27,2.97,2.01
723529,153.26999999999998,7.4625,12.77,90.58791419186593,2.6075,6.75,13.2925,18.405,23.372500000000002,22.715,22.5325,18.975,13.5,7.164999999999999,2.4275,1.525
723531,161.265,8.195,13.434999999999999,14.64697343710458,2.99,7.565,14.285,19.475,24.09,23.189999999999998,23.155,19.810000000000002,14.379999999999999,7.81,2.73,1.78
723533,147.075,6.359999999999999,12.255,81.58844826045244,1.8499999999999999,5.355,11.91,17.740000000000002,23.595,23.44,23.03,18.685000000000002,12.465,6.11,1.88,1.01
723538,148.01999999999998,6.45,12.335,66.63388691705173,1.9049999999999998,5.46,12.04,17.85,23.685000000000002,23.475,23.095,18.775,12.575,6.2,1.92,1.04
723539,153.99,7.315,12.8325,117.46083475168115,2.4074999999999998,6.4375,13.025,18.68,23.8125,23.27,23.0625,19.2625,13.4025,6.93,2.3,1.385
723543,164.1,8.74,13.67,50.97643924780929,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723545,148.10555555555555,7.206666666666667,12.34,293.1467807555729,2.4766666666666666,6.454444444444444,12.82,17.762222222222224,22.644444444444446,22.046666666666667,21.834444444444443,18.36,13.038888888888888,6.898888888888889,2.32,1.4477777777777778
723546,145.19500000000002,6.361666666666667,12.098333333333334,176.9636828992777,1.8683333333333334,5.351666666666667,11.798333333333332,17.545,23.191666666666666,23.025000000000002,22.636666666666667,18.44,12.346666666666666,6.085,1.885,1.0266666666666666
723547,156.91333333333333,8.073333333333332,13.073333333333332,130.19224105709145,2.9633333333333334,7.456666666666667,13.933333333333332,19.003333333333334,23.313333333333333,22.406666666666666,22.386666666666667,19.26,14.040000000000001,7.673333333333333,2.6999999999999997,1.7700000000000002
723548,161.22,8.528,13.430000000000001,126.85434648509951,3.3240000000000003,8.076,14.668000000000001,19.298,23.622,22.476,22.517999999999997,19.554000000000002,14.569999999999999,8.152,2.94,2.016
723549,145.075,6.285,12.0875,63.56298252195447,1.845,5.3,11.7725,17.5,23.2175,23.08,22.6825,18.4225,12.317499999999999,6.0575,1.8725,1.0125
723551,164.1,8.74,13.67,197.15062908463005,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723553,145.89249999999998,6.4725,12.1575,185.11388738221393,1.99,5.565,12.0325,17.5475,23.134999999999998,22.875,22.5,18.4225,12.495000000000001,6.25,1.9725,1.11
723555,154.02666666666667,7.593333333333334,12.833333333333334,64.59007192788822,2.7133333333333334,6.943333333333334,13.479999999999999,18.5,23.30333333333333,22.58,22.44333333333333,19.006666666666664,13.636666666666668,7.306666666666666,2.5066666666666664,1.6033333333333335
723556,155.67000000000002,7.9879999999999995,12.972,99.47986614144831,2.944,7.346000000000001,13.844,18.686,23.252000000000002,22.338,22.264,19.078,13.908000000000001,7.587999999999999,2.66,1.7579999999999998
723557,164.1,8.74,13.67,335.8341887670658,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723559,134.65,5.39,11.22,219.3358623124282,1.32,4.25,10.27,16.54,22.06,22.34,21.9,17.46,11.16,5.19,1.49,0.67
723561,146.26,7.434,12.187999999999999,222.54288424432485,2.67,6.766,12.963999999999999,17.494,21.968,21.2,21.064,17.958000000000002,13.053999999999998,7.0840000000000005,2.446,1.5879999999999999
723562,164.1,8.74,13.67,85.4677191650435,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723563,128.89,5.05,10.74,43.5553919723688,1.18,3.93,9.69,15.85,21.2,21.63,21.12,16.8,10.61,4.89,1.39,0.59
723567,159.79666666666665,8.16,13.313333333333333,81.97399921798186,3.0233333333333334,7.586666666666667,14.236666666666666,19.226666666666667,23.810000000000002,22.86,22.83,19.573333333333334,14.283333333333333,7.81,2.7433333333333336,1.8066666666666666
723568,164.1,8.74,13.67,30.273740952115425,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723569,151.26333333333332,6.996666666666667,12.603333333333333,108.81320348125281,2.2666666666666666,6.146666666666667,12.716666666666667,18.246666666666666,23.59,23.153333333333336,22.893333333333334,18.959999999999997,13.096666666666666,6.71,2.1866666666666665,1.29
723571,164.1,8.74,13.67,43.2396999363376,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723573,157.79,7.823333333333333,13.15,86.07431538750305,2.8533333333333335,7.1866666666666665,13.83,18.849999999999998,23.896666666666665,23.093333333333334,22.94333333333333,19.413333333333334,13.950000000000001,7.496666666666667,2.5933333333333333,1.6900000000000002
723578,145.91,7.24,12.16,61.05538247198865,2.44,6.4,12.43,17.94,22.16,21.55,21.42,18.22,12.84,6.76,2.3,1.44
723579,156.15,7.73,13.013333333333334,100.26687607284059,2.723333333333333,6.996666666666667,13.596666666666666,18.81,23.686666666666667,22.95,22.810000000000002,19.303333333333335,13.793333333333335,7.353333333333333,2.5166666666666666,1.6033333333333335
723581,156.68,7.996,13.053999999999998,129.7862363699457,2.928,7.3759999999999994,13.884,18.974,23.36,22.454,22.428,19.247999999999998,13.998,7.606,2.6719999999999997,1.75
723582,151.405,7.035,12.62,130.72134084536268,2.26,6.13,12.69,18.29,23.64,23.200000000000003,22.915,19.005000000000003,13.1,6.7,2.1849999999999996,1.29
723583,155.9,8.38,12.99,54.049832729360595,3.2300000000000004,7.8933333333333335,14.17,18.986666666666668,22.646666666666665,21.48,21.606666666666666,18.959999999999997,14.156666666666666,7.913333333333334,2.883333333333333,1.9633333333333336
723584,146.715,6.815,12.2275,132.40006062216025,2.145,5.865,12.2775,17.63,23.002499999999998,22.627499999999998,22.3075,18.42,12.6775,6.465,2.0774999999999997,1.215
723585,152.81,7.609999999999999,12.735,61.3516853554685,2.68,6.84,13.254999999999999,18.425,23.205,22.47,22.32,18.9,13.485,7.175,2.465,1.585
723587,151.10333333333332,7.253333333333334,12.590000000000002,130.4985567831663,2.4166666666666665,6.423333333333333,12.833333333333334,18.383333333333336,23.206666666666667,22.673333333333332,22.506666666666664,18.88,13.200000000000001,6.88,2.3000000000000003,1.4000000000000001
723588,164.1,8.74,13.67,41.62601698468572,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723590,156.5625,7.955,13.0475,140.54389763349462,2.9699999999999998,7.375,13.8975,18.705000000000002,23.4525,22.535,22.442500000000003,19.175,13.945,7.609999999999999,2.67,1.7774999999999999
723591,164.1,8.74,13.67,110.71069371140786,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723592,150.26714285714283,7.612857142857144,12.522857142857143,181.41228908574848,2.737142857142857,6.912857142857143,13.155714285714286,18.142857142857142,22.61285714285714,21.80857142857143,21.695714285714285,18.53,13.34142857142857,7.1899999999999995,2.4985714285714287,1.6314285714285715
723593,154.175,7.4,12.844999999999999,114.83618826288898,2.51,6.615,13.190000000000001,18.66,23.64,23.064999999999998,22.91,19.200000000000003,13.49,7.0649999999999995,2.37,1.455
723594,151.06,6.88,12.59,60.29369162553853,2.2,5.99,12.61,18.12,23.8,23.36,23.03,18.98,13.01,6.6,2.12,1.24
723595,153.10999999999999,7.312,12.758,72.51588030879961,2.4539999999999997,6.492,13.075999999999999,18.464,23.595999999999997,23.026,22.814,19.088,13.378,6.978,2.3240000000000003,1.418
723596,164.1,8.74,13.67,55.44964258979441,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723598,148.3,6.925,12.36,88.14396145646019,2.275,6.115,12.445,17.995,22.93,22.585,22.34,18.58,12.864999999999998,6.655,2.195,1.315
723599,153.888,7.648000000000001,12.822,90.41395607099133,2.7039999999999997,6.9159999999999995,13.378,18.592000000000002,23.316,22.572,22.44,19.036,13.594,7.25,2.494,1.594
723600,140.11,5.74,11.675,121.20420843234716,1.53,4.675000000000001,11.075,16.855,22.905,22.955,22.43,17.96,11.725,5.5649999999999995,1.63,0.8
723602,161.72923076923078,8.465384615384615,13.473076923076924,971.3740820427148,3.2361538461538464,7.975384615384616,14.636153846153848,19.443076923076923,23.774615384615384,22.692307692307693,22.73076923076923,19.685384615384613,14.592307692307694,8.107692307692307,2.8969230769230765,1.9507692307692308
723603,151.82666666666668,7.113333333333333,12.653333333333334,76.35079385008092,2.33,6.253333333333333,12.833333333333334,18.290000000000003,23.616666666666664,23.106666666666666,22.843333333333334,19.003333333333334,13.186666666666667,6.796666666666667,2.23,1.3366666666666667
723605,144.735,6.165,12.059999999999999,79.5588558733584,1.685,5.07,11.485,17.700000000000003,23.29,23.299999999999997,22.925,18.545,12.190000000000001,5.875,1.775,0.9
723607,153.96,7.493333333333333,12.83,136.92848882226212,2.606666666666667,6.773333333333333,13.273333333333333,18.62666666666667,23.423333333333332,22.790000000000003,22.673333333333332,19.103333333333335,13.540000000000001,7.18,2.44,1.53
723608,158.82,8.31,13.2325,150.91547019906488,3.16,7.775,14.285,19.125,23.4175,22.369999999999997,22.384999999999998,19.37,14.2875,7.9075,2.825,1.9075
