etak_id,lat,lon,total_roof_area,district,ehr_code,address_id,address,name,type,year,total_area,floors,energy_label,residential,assembly,business,educational,industrial,institutional,mercantile,storage,other
731776,58.34541428762003,26.707299010089976,299.58,Variku,104018448.0,EE00752262,"Kesa põik 6, Tartu linn",Elamu,üksikelamu,1995.0,417.7,2.0,,0.286090495570984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
731194,58.35275080284235,26.718096768543607,129.47,Ropka,104016338.0,EE00750293,"Pihlaka tänav 18, Tartu linn",Elamu,üksikelamu,1963.0,131.6,1.0,,0.7948328267477204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6134528,58.39445085929584,26.67890618711719,1871.73,Veeriku,120557972.0,ME01125447,"Klaasi tänav 4, Tartu linn",Tootmishoone,muu tööstushoone,2011.0,1623.7,2.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7721125,58.449889794078565,26.56232712786976,296.69,Endine Tähtvere vald,120714065.0,EE03378861,,Üksikelamu,üksikelamu,2017.0,226.9,2.0,B,0.8320846187747907,0.0,0.0,0.0,0.0,0.0,0.0,0.1679153812252093,0.0
5691849,58.383554017999,26.744575307731,32.81,Ülejõe,nan,ME03047636,"Pärna tänav 39, Tartu linn",,,,,,,,,,,,,,,
720448,58.376366110426304,26.71528172360351,648.37,Kesklinna,104033956.0,EE01653334,"Julius Kuperjanovi tänav 2, Tartu linn",Korterelamu,muu kolme või enama korteriga elamu,1961.0,2075.1,4.0,A,0.7129776878222737,0.0,0.0367211218736446,0.0,0.0,0.0,0.0,0.0,0.0
715713,58.384813215922,26.74165661219008,137.73,Ülejõe,104014655.0,EE00748752,"Raatuse tänav 106, Tartu linn",Elamu,muu kolme või enama korteriga elamu,1935.0,210.4,1.0,,0.6939163498098859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
728773,58.34667319599214,26.70096411824045,213.7,Variku,104040761.0,EE00772858,"Voolu tänav 45, Tartu linn",Elamu,üksikelamu,1995.0,245.2,1.0,,0.5962479608482871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
709899,58.36002401705874,26.700423996553244,45.76,Tammelinna,nan,ME03025859,"Raja tänav 10, Tartu linn",,,,,,,,,,,,,,,
710237,58.362772346323005,26.726353065977097,43.72,Karlova,121346254.0,ME03890969,"Alevi tänav 13, Tartu linn",Garaaž,"elamu, kooli vms abihoone",,32.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
